,route_name,route_ID,type_string,sector_ID,parent_sector,parent_loc,num_votes,adjusted_num_votes,mean_rating,median_rating,mode_rating,RQI_mean,RQI_median,ARQI_mean,ARQI_median,nopm_YDS,YDS_rank,safety,state
30055,Puppets Without Strings,107804384,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,2.0274928349620307,4.0,4.0,4.0,0.0,0.0,2.0271200316843987,2.0271200316843987,5.12a,120,,Oregon
30056,Mt. Berry,107721206,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,2.0274928349620307,4.0,4.0,4.0,0.0,0.0,2.0271200316843987,2.0271200316843987,5.12a,120,,Oregon
30057,Chubby Hubby,107766599,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",9,18.247435514658278,3.7777777777777777,3.857142857142857,4.0,3.3580246913580245,3.4285714285714284,3.570747163818733,3.6457628605376144,5.12a,120,,Oregon
30058,Get a Grip,107724788,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,2.7318992211470383,2.0,2.0,2.0,0.0,0.0,1.2679085727180437,1.2679085727180437,5.11d,116,,Oregon
30059,Dog Show,107266509,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",14,38.246589096058536,2.7857142857142856,2.875,3.0,2.586734693877551,2.669642857142857,2.7128786590204172,2.799829898091585,5.11d,116,,Oregon
30060,Oregon Yosemite,107982684,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",4,17.387458135693397,2.5,2.5,2.0,1.875,1.875,2.3562182016204005,2.3562182016204005,5.12d,126,,Oregon
30061,Blister in the Sun,107982690,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",4,17.387458135693397,2.75,2.5,2.0,2.0625,1.875,2.59184002178244,2.3562182016204005,5.12d,126,,Oregon
30062,Snack Time for Kea,107724733,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,1.750538151439831,3.0,3.0,3.0,0.0,0.0,1.2862412924091502,1.2862412924091502,5.10c,104,,Oregon
30063,Eekwinocks,107778911,trad,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,1.750538151439831,1.0,1.0,1.0,0.0,0.0,0.42874709746971673,0.42874709746971673,5.10c,104,,Oregon
30064,Pin Ball,111157238,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",6,10.421388584975492,3.0,3.0,3.0,2.5,2.5,2.7121304924446346,2.7121304924446346,5.11b,112,,Oregon
30065,Hang 'em Higher or Throwin' Fire,107801212,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,1.7368980974959154,3.0,3.0,3.0,0.0,0.0,1.2727829546678082,1.2727829546678082,5.11b,112,,Oregon
30066,Freddys Dead,107801205,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",1,1.7368980974959154,2.0,2.0,2.0,0.0,0.0,0.8485219697785389,0.8485219697785389,5.11b,112,,Oregon
30067,Face Lift,107984559,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",4,6.947592389983662,2.25,2.5,3.0,1.6875,1.875,1.926146804000214,2.1401631155557936,5.11b,112,,Oregon
30068,Drama Queen,107804371,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",2,3.473796194991831,4.0,4.0,4.0,2.0,2.0,2.848521969778539,2.848521969778539,5.11b,112,,Oregon
30069,Spring Cling,107984542,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",14,15.902853720148963,2.5,2.5,2.0,2.3214285714285716,2.3214285714285716,2.34279551054208,2.34279551054208,5.10a,100,,Oregon
30070,Oot and Aboot,107805878,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",5,5.679590614338915,2.8,2.75,2.0,2.2399999999999998,2.2,2.307006721059963,2.2658101724696067,5.10a,100,,Oregon
30071,Mirage a' Trois,107722341,sport,106735075,Spring Mountain,"[-118.23642, 45.45813]",5,5.679590614338915,1.2,1.125,1.0,0.96,0.9,0.9887171661685557,0.9269223432830209,5.10a,100,,Oregon
